epoch	lr	loss_train	loss_test	mpjpe_mean(train)	mpjpe_std(train)	mpjpe_mean(test)	mpjpe_std(test)	learnloss_train	learnloss_test	
63	0.00100	3186.77485	3022.75747	76.05030	6.94349	64.53625	7.13287	12.11511	13.73117	
64	0.00100	3198.23586	2982.83805	76.03799	7.30651	63.55915	7.63112	33.03194	23.99056	
65	0.00100	3170.97250	3035.64225	75.83159	7.14396	64.46086	6.93981	23.76203	21.18762	
66	0.00100	3188.19486	3016.37609	76.00033	7.09539	64.02821	7.07180	10.05627	7.13151	
67	0.00100	3173.54504	3015.27176	75.86624	7.36416	64.30370	7.72578	40.80953	5.78945	
68	0.00100	3153.43106	3092.72726	75.52206	7.02493	65.80964	6.54758	21.93056	4.21049	
69	0.00100	3164.20562	2992.75852	75.63634	7.08250	63.65354	7.30135	14.34446	10.51741	
70	0.00100	3143.38082	2971.20083	75.40725	7.12901	63.43941	6.56012	22.26494	4.22748	
71	0.00100	3135.58891	3021.77813	75.31569	7.15345	64.22784	7.46367	12.06612	14.04062	
72	0.00100	3149.15176	3024.07299	75.53476	6.84210	64.71005	7.27890	66.52921	8.11976	
73	0.00100	3134.88917	2987.97397	75.31750	7.13522	63.61065	7.31989	inf	73.92440	
74	0.00100	3115.24269	2955.11354	75.10334	7.04207	63.33730	6.85906	18.36228	6.04293	
75	0.00100	3093.11418	3021.14551	74.92490	6.75807	63.95371	7.64170	86.76939	15.50652	
76	0.00100	3108.21204	2978.24806	75.02902	6.95667	63.62924	7.32216	18.54035	110.89484	
77	0.00100	3101.12845	2971.68556	74.98381	6.60888	63.58456	6.63978	16.81083	5.50582	
78	0.00100	3077.09434	2985.30482	74.60972	6.87422	63.46556	7.25772	11.31280	12.55516	
79	0.00100	3060.42840	2967.37823	74.49663	6.44041	63.25275	7.26989	9.89172	15.46221	
80	0.00100	3065.34292	2974.68069	74.52773	6.89178	63.40802	7.05061	16.36304	11.42899	
81	0.00100	3067.08046	2984.39442	74.42767	6.34590	63.54607	7.61948	28.32790	22.49056	
82	0.00100	3052.98002	2974.95680	74.35513	6.66765	63.18501	6.95847	70.62729	9.68878	
83	0.00100	3001.08658	2944.96191	73.76954	6.23239	63.25331	7.36244	13.38334	6.40065	
84	0.00100	3048.85072	2983.25971	74.35008	6.77921	63.81535	7.25485	10.35858	7.97274	
85	0.00100	3053.47134	2973.79540	74.46063	6.84108	63.60560	7.13357	12.94765	12.34021	
86	0.00100	3004.55669	2997.56213	73.84220	6.80914	64.11499	6.70276	14.40742	16.86526	
87	0.00100	3042.84203	2979.25346	74.20998	7.06266	63.62007	7.51582	28.67967	14.97039	
88	0.00100	3031.30042	2949.05730	74.08163	6.70308	63.00434	7.58216	14.70602	11.01824	
89	0.00100	3011.98367	2946.16768	73.89978	6.68927	63.28242	7.10409	11.96335	6.77290	
90	0.00100	2998.18934	2960.25000	73.71211	6.54201	63.37195	7.03188	16.66360	6.81849	
91	0.00100	3032.41099	2910.99058	74.12799	6.76824	62.52766	6.68656	10.40071	5.96754	
92	0.00100	3024.83635	2950.67966	74.05359	7.00581	63.24632	7.57657	10.57469	6.33853	
93	0.00100	3002.35058	2949.43440	73.78466	6.56458	63.27621	7.40792	14.68490	7.16494	
94	0.00100	2966.16891	2928.57301	73.43596	6.46412	62.82220	7.52517	8.81484	8.34153	
